project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
AFNetworking/AFNetworking,6,10,61,4978,0,0.765920607,7,4,2,0,0,0,0.735030133,4,1,1
AFNetworking/AFNetworking,13,40,92,5185,0,0.722928401,10,3,15,0,0,0.5,0.544708525,4,0.25,1
AFNetworking/AFNetworking,12,102,122,5390,0.128205128,0.75079923,9,8,97,0.333333333,0.083333333,0.833333333,0.801445643,12,0.5,2
AFNetworking/AFNetworking,12,45,153,5574,0.014084507,0.773687342,13,7,56,0,0,1,0.670101579,9,0.222222222,0
AFNetworking/AFNetworking,7,46,183,5784,0.058823529,0.620322856,7,7,7,0.125,0,1,0.768499176,8,0.875,1
AFNetworking/AFNetworking,19,38,214,5985,0.289473684,0.71987297,13,8,15,0.363636364,0,1,0.806433217,11,0.454545455,1
AFNetworking/AFNetworking,8,24,245,6269,0.2,0.831922924,15,6,19,0,0,1,0.688285283,8,0.75,2
AFNetworking/AFNetworking,13,39,274,6732,0.147058824,0.755091123,17,7,6,0,0,1,0.82009194,8,0.375,4
AFNetworking/AFNetworking,13,27,305,7137,0.517241379,0.752378324,16,7,21,0.4,0,1,0.723364343,10,0.6,2
AFNetworking/AFNetworking,8,23,335,7542,0,0.827658835,1,6,5,0.142857143,0,1,0.754116968,7,0.571428571,3
AFNetworking/AFNetworking,13,35,366,8026,0.1,0.752505172,4,7,21,0.142857143,0,1,0.643497965,7,0.428571429,2
AFNetworking/AFNetworking,20,44,396,8455,0.090909091,0.638549691,4,4,4,0,0,1,0.66352782,4,0.75,2
AFNetworking/AFNetworking,22,48,427,8970,0.152173913,0.657755429,7,8,6,0.125,0,1,0.716353264,8,0.5,2
AFNetworking/AFNetworking,28,61,458,9404,0,0.777325304,11,9,21,0,0,1,0.616088098,11,0.727272727,5
AFNetworking/AFNetworking,24,46,488,9712,0.033333333,0.821609744,16,14,41,0.0625,0,0.9375,0.687302559,16,0.5,3
AFNetworking/AFNetworking,34,48,519,9985,0.044776119,0.770122113,20,13,17,0.071428571,0,0.928571429,0.799352216,14,0.428571429,3
AFNetworking/AFNetworking,19,61,549,10204,0.129032258,0.695413401,7,8,18,0.125,0,1,0.722786514,8,0.375,4
AFNetworking/AFNetworking,29,49,580,10640,0.086956522,0.706250941,9,8,26,0.375,0,1,0.528566706,8,0.375,4
AFNetworking/AFNetworking,40,49,611,10850,0.022222222,0.692195057,11,15,38,0.125,0.0625,1,0.743455915,16,0.4375,2
AFNetworking/AFNetworking,32,67,639,11013,0.169491525,0.707699745,16,15,11,0.388888889,0,1,0.788307215,18,0.444444444,3
AFNetworking/AFNetworking,33,51,670,11187,0,0.792874811,21,16,19,0,0,1,0.716335806,19,0.473684211,4
AFNetworking/AFNetworking,41,109,700,11321,0.244897959,0.587515531,34,18,31,0.347826087,0.391304348,0.869565217,0.561315007,23,0.652173913,6
AFNetworking/AFNetworking,33,88,731,11433,0.070422535,0.695943081,9,11,31,0.266666667,0.4,1,0.683138736,15,0.533333333,1
