num_forks-num_integrated_commits-MAXindex,num_forks-num_integrated_commits-MAXSlope,num_files-num_integrated_commits-MAXindex,num_files-num_integrated_commits-MAXSlope,fork_entropy-num_integrated_commits-MAXindex,fork_entropy-num_integrated_commits-MAXSlope,project_age-num_integrated_commits-MAXindex,project_age-num_integrated_commits-MAXSlope,num_stars-num_integrated_commits-MAXindex,num_stars-num_integrated_commits-MAXSlope,ratio_old_volunteers-num_integrated_commits-MAXindex,ratio_old_volunteers-num_integrated_commits-MAXSlope,num_forks_rq2-ratio_merged_prs-MAXindex,num_forks_rq2-ratio_merged_prs-MAXSlope,num_forks_rq2-num_bug_report_issues-MAXindex,num_forks_rq2-num_bug_report_issues-MAXSlope,num_files_rq2-ratio_merged_prs-MAXindex,num_files_rq2-ratio_merged_prs-MAXSlope,num_files_rq2-num_bug_report_issues-MAXindex,num_files_rq2-num_bug_report_issues-MAXSlope,fork_entropy_rq2-ratio_merged_prs-MAXindex,fork_entropy_rq2-ratio_merged_prs-MAXSlope,fork_entropy_rq2-num_bug_report_issues-MAXindex,fork_entropy_rq2-num_bug_report_issues-MAXSlope,ratio_old_volunteers_rq2-ratio_merged_prs-MAXindex,ratio_old_volunteers_rq2-ratio_merged_prs-MAXSlope,ratio_old_volunteers_rq2-num_bug_report_issues-MAXindex,ratio_old_volunteers_rq2-num_bug_report_issues-MAXSlope,ratio_prs_with_tests-ratio_merged_prs-MAXindex,ratio_prs_with_tests-ratio_merged_prs-MAXSlope,ratio_prs_with_tests-num_bug_report_issues-MAXindex,ratio_prs_with_tests-num_bug_report_issues-MAXSlope,ratio_prs_with_hot_files-ratio_merged_prs-MAXindex,ratio_prs_with_hot_files-ratio_merged_prs-MAXSlope,ratio_prs_with_hot_files-num_bug_report_issues-MAXindex,ratio_prs_with_hot_files-num_bug_report_issues-MAXSlope
2,0.170333863,7,0.235732879,3,-0.256504211,3,0.121336638,3,0.091652765,7,-0.223114911,10,0.254681768,8,-0.453277536,10,0.240012659,10,0.206764146,5,0.210713414,4,0.179941469,11,0.15828312,5,-0.344862529,2,0.233695395,5,-0.199919022,3,0.349606444,2,0.293815624
8,0.417032882,5,-0.221290648,6,0.219805473,7,0.038394512,5,-0.074303047,11,0.075672402,5,-0.09924727,9,0.276170989,12,-0.104035898,8,-0.188601065,0,-0.274944837,11,-0.124832573,5,0.249028854,0,-0.042409475,1,-0.352404698,0,0.125528091,6,0.135735938,3,-0.141653367
0,0.318790919,3,-0.222034834,11,-0.107396626,3,-0.087416106,10,0.071626214,9,-0.135528501,3,0.186822006,11,0.187712003,0,-0.093384469,6,-0.418925874,6,0.298384401,7,0.264356473,12,0.199687781,12,0.088060707,1,0.216940763,7,-0.297235231,0,0.213750506,6,-0.132595458
9,0.160113734,1,-0.165514267,6,0.319776441,5,0.222132327,7,0.19495218,NA,NA,3,0.352677942,5,0.27798041,2,-0.32514942,0,0.269785335,2,0.305237766,2,0.335511175,NA,NA,NA,NA,1,-0.313107271,0,-0.160685671,6,0.195588746,4,0.199044491
1,0.2277949,3,-0.266848251,6,-0.127075807,11,0.18445674,0,0.031616188,11,-0.0925079,6,-0.203229094,1,-0.284733933,11,-0.210162839,9,0.166476214,9,0.20593769,8,0.183337603,10,-0.208234501,10,-0.163854979,12,0.157773107,2,0.309551557,7,0.149920841,10,0.226414296
0,0.183481651,12,-0.190046023,3,0.206707529,5,0.297091448,12,-0.164301046,4,0.219685312,4,0.201247522,2,0.220682759,3,-0.224122601,2,0.367337546,9,-0.410972287,10,-0.275223994,0,-0.094912949,3,0.497952862,0,-0.384912315,5,-0.258723088,0,-0.232477631,12,0.140068322
8,-0.269762458,2,0.299816155,10,-0.268067543,2,-0.272930861,2,-0.10191132,7,-0.249027894,2,0.145127708,NA,NA,5,-0.140768321,NA,NA,0,-0.106012965,NA,NA,0,-0.104522818,NA,NA,1,0.190038829,NA,NA,11,0.38547985,NA,NA
4,-0.303249495,2,-0.312638114,5,0.196574563,1,-0.114823119,6,0.061375426,8,-0.169902346,11,-0.124045307,4,-0.220098308,0,-0.171186224,9,0.326066659,1,0.250552888,9,-0.277235412,7,0.197370765,11,0.109449107,2,-0.29599922,7,-0.226840486,4,0.279691655,10,-0.1512123
8,-0.173405559,3,-0.292256024,4,0.284674001,0,-0.210036006,0,-0.178367219,12,0.167630224,5,-0.298673639,8,-0.237094726,8,0.355242497,1,0.151453646,2,0.305923178,9,0.274196625,8,-0.210136829,1,0.26443849,9,-0.176296919,2,0.060484431,4,-0.157850953,2,-0.138055954
6,-0.309082054,0,-0.290469769,4,-0.155537134,11,0.217717693,12,-0.164471544,5,-0.404556053,5,-0.18148594,10,0.36551102,4,0.142305859,2,0.300838193,3,0.395910819,6,-0.204370426,7,0.113852533,7,-0.271106903,3,0.324488423,11,0.308718618,2,0.205521794,1,-0.263858863
1,0.38213869,2,0.229295783,4,0.383822692,9,0.210487971,4,0.073293436,3,0.168005617,5,-0.188868526,NA,NA,12,0.210081933,NA,NA,12,-0.265171511,NA,NA,1,0.354998021,NA,NA,0,0.281756564,NA,NA,12,-0.258867553,NA,NA
3,-0.380510511,11,0.209800038,4,0.277294971,7,0.178591408,8,-0.123169682,9,0.313427134,10,-0.138454896,NA,NA,5,-0.225743329,NA,NA,11,-0.251148274,NA,NA,0,-0.217979514,NA,NA,3,0.275719048,NA,NA,6,-0.227342916,NA,NA
12,-0.325792098,3,0.522868449,5,0.297351649,11,0.149080783,10,-0.118763738,9,0.318601022,8,-0.195496034,12,0.41864675,1,0.32394224,8,0.179170282,0,0.352970071,0,-0.302599096,5,0.255585581,3,0.196232388,1,0.277628084,2,-0.255638173,9,-0.158457283,1,0.233603843
0,0.406762379,2,-0.180341722,7,-0.162543634,4,-0.256995424,4,0.130560025,8,0.317809194,9,0.150440131,11,0.299777135,0,-0.138653216,3,-0.137100873,11,0.188856257,8,0.177875977,8,0.126879369,10,-0.195807262,5,-0.151163348,7,-0.255680487,10,-0.271989553,9,0.246751853
5,-0.193874702,2,0.244360781,2,-0.27439571,5,-0.329724624,2,0.410858057,NA,NA,2,-0.244906155,12,0.181147087,0,-0.225212395,6,-0.318248095,0,0.309108253,9,0.26923478,NA,NA,NA,NA,4,0.1827991,1,0.282110529,5,-0.452292076,8,-0.205652879
0,0.309544804,1,-0.173763773,8,-0.210988042,0,0.149591338,12,0.081957397,1,0.010212773,12,0.181530657,9,0.284412293,2,-0.164577923,7,-0.180365172,6,-0.191029166,8,0.312580308,NA,NA,NA,NA,4,0.256368957,9,-0.177550022,12,-0.253530576,8,0.111815096
2,-0.170582494,2,-0.14889372,0,-0.082091179,2,0.110112093,2,0.102315306,2,-0.224084137,1,0.286376182,7,0.252275748,11,-0.321470721,2,0.254602787,8,-0.294373774,7,-0.240263517,11,-0.270633152,3,-0.379245161,6,0.22477578,7,0.252432758,4,-0.45054331,9,-0.178653705
2,0.108270132,1,-0.249693522,8,0.226099329,0,-0.303041125,8,-0.087541533,NA,NA,3,-0.307495771,NA,NA,2,-0.420056064,NA,NA,8,-0.237304564,NA,NA,NA,NA,NA,NA,3,-0.329524891,NA,NA,0,0.287914152,NA,NA
10,0.299764284,0,-0.330856963,7,0.241534338,4,-0.299045944,2,-0.156509495,0,-0.283365148,6,0.180183042,0,0.508158232,1,-0.166237551,2,-0.459390971,5,-0.294655901,0,-0.263498844,7,-0.214841039,11,0.321810392,9,0.3082463,12,0.216584908,11,0.322552989,12,-0.178575808
11,-0.215151493,12,-0.116677882,11,0.160871764,3,-0.250616896,2,0.17744742,3,0.245821051,5,0.294032378,0,0.261963049,6,-0.231229818,9,-0.179086051,8,0.350293755,0,-0.294202481,7,-0.212930514,11,0.336685873,12,-0.205757,5,-0.204558656,1,-0.176362645,12,-0.130979614
1,0.226436891,9,0.102622005,0,-0.052626219,7,0.043013356,4,0.034363623,NA,NA,1,0.179375671,0,-0.179900609,2,-0.223338922,1,-0.362033265,4,-0.201416128,8,0.219577331,NA,NA,NA,NA,4,0.140420289,4,0.392653949,9,-0.158254411,0,-0.176241057
0,-0.208647704,9,0.280521872,1,-0.246795085,8,0.135198603,3,-0.131604703,1,-0.255169939,5,-0.202031362,3,0.203802196,9,0.218092574,8,0.152902067,6,0.231252435,1,0.208032646,4,0.188936505,10,0.166146599,0,-0.184288924,3,-0.145921386,6,0.182256088,9,0.169972394
7,-0.201616288,2,-0.328888118,5,-0.196680518,7,-0.396745299,0,0.202516783,NA,NA,0,-0.159669729,NA,NA,0,0.213963738,NA,NA,8,-0.181748375,NA,NA,NA,NA,NA,NA,0,0.355523563,NA,NA,1,-0.163304082,NA,NA
0,-0.338614381,11,0.322823131,9,-0.279432278,9,-0.412067188,2,0.085892581,4,0.262390861,2,-0.342716446,4,0.348624849,0,0.247890695,3,-0.366109589,2,0.336146973,11,0.298439906,0,-0.193841323,5,0.207093395,3,0.350168195,4,0.163226676,1,-0.418812583,3,0.234296691
11,-0.130014609,0,0.136307211,1,0.28308613,0,0.280315356,1,0.192652398,4,-0.199773004,6,0.339540131,7,-0.458170967,2,-0.089483813,7,-0.449844944,4,0.24559394,11,-0.409385418,NA,NA,NA,NA,NA,NA,NA,NA,7,-0.226077192,11,-0.309843111
11,-0.339615109,4,0.638648723,5,-0.187550517,10,-0.293620901,9,-0.216961879,NA,NA,4,0.263105525,9,0.435610665,5,0.289164361,5,0.367733952,5,0.241067923,9,-0.377653268,NA,NA,NA,NA,5,0.273889612,11,0.317657939,2,0.267676182,5,-0.294801612
0,-0.493173169,10,0.408916311,2,0.250791483,1,-0.263823089,3,-0.249127352,6,-0.27304522,7,-0.325757343,10,-0.427249896,0,-0.744474027,8,0.368646281,3,0.517568299,1,-0.578045751,9,0.303824192,7,-0.605689454,11,-0.202239105,7,-0.288371141,4,-0.233731486,6,0.229013996
